NZ_CP010271.1.cluster002	b'1578165\n'
NZ_CP019040.1.cluster006	b'492670\n'
NZ_CP010029.1.cluster007	b'935293\n'
NC_010628.1.cluster003	b'63737\n'
NZ_CP004377.1.cluster014	b'1249477\n'
NZ_CP022098.1.cluster026	b'43\n'
NZ_CP028127.1.cluster003	b'325776\n'
NZ_LN871187.1.cluster003	b'287\n'
NZ_CP006644.1.cluster003_0	b'1123269\n'
NZ_CP014504.1.cluster004	b'188932\n'
NZ_CP011371.1.cluster005	b'413882\n'
NZ_CP018063.1.cluster012	b'1570939\n'
NZ_CP022522.1.cluster006	b'1514074\n'
NC_009485.1.cluster003	b'288000\n'
NZ_CP013459.1.cluster017	b'1503054\n'
NC_018079.1.cluster003	b'1104326\n'
NZ_CP026568.1.cluster011	b'321\n'
NZ_CP017786.1.cluster002	b'1178537\n'
NZ_CP022098.1.cluster037	b'43\n'
NC_019682.1.cluster004	b'99598\n'
NC_012491.1.cluster005	b'358681\n'
NZ_CP014948.1.cluster001	b'287\n'
NZ_LT629758.1.cluster011_2	b'113562\n'
NZ_CP006872.1.cluster006	b'1413214\n'
NZ_CP025435.1.cluster003	b'2059875\n'
NZ_CP013448.1.cluster006	b'1740163\n'
NZ_CP012939.1.cluster001	b'305\n'
NZ_CP012251.1.cluster004	b'195709\n'
NZ_CP013129.1.cluster002	b'54571\n'
NZ_CP009128.1.cluster015	b'28450\n'
NZ_CP011145.1.cluster007	b'1396\n'
NC_004757.1.cluster004	b'228410\n'
NC_007908.1.cluster004_0	b'338969\n'
NZ_CP019457.1.cluster027	b'47763\n'
NC_022196.1.cluster001	b'469604\n'
NZ_CP017578.1.cluster003	b'621456\n'
NZ_CP025051.1.cluster005	b'287\n'
NZ_CP014513.1.cluster006	b'1795630\n'
NZ_CP013414.1.cluster008	b'101571\n'
NZ_CP009165.1.cluster008	b'1439855\n'
NZ_CP021744.1.cluster032	b'1940\n'
NZ_CM001986.1.cluster003	b'1262350\n'
NZ_CP028158.1.cluster006	b'2108470\n'
NC_018513.1.cluster001	b'1009846\n'
NC_020054.1.cluster005	b'1166018\n'
